s,C,C
Time,"Back","Front"
 8.9900000E+002, 1.0568035E+002, 1.1633748E+002
 9.0100000E+002, 1.0574871E+002, 1.1635496E+002
 9.0350000E+002, 1.0582523E+002, 1.1637454E+002
 9.0550000E+002, 1.0590135E+002, 1.1639400E+002
 9.0750000E+002, 1.0596866E+002, 1.1641122E+002
 9.0950000E+002, 1.0603566E+002, 1.1642836E+002
 9.1200000E+002, 1.0611063E+002, 1.1644753E+002
 9.1400000E+002, 1.0618522E+002, 1.1646661E+002
 9.1600000E+002, 1.0625118E+002, 1.1648348E+002
 9.1850000E+002, 1.0632499E+002, 1.1650236E+002
 9.2050000E+002, 1.0639843E+002, 1.1652114E+002
 9.2250000E+002, 1.0646337E+002, 1.1653775E+002
 9.2450000E+002, 1.0652800E+002, 1.1655428E+002
 9.2700000E+002, 1.0660033E+002, 1.1657278E+002
 9.2900000E+002, 1.0667229E+002, 1.1659119E+002
 9.3100000E+002, 1.0673592E+002, 1.1660746E+002
 9.3350000E+002, 1.0680714E+002, 1.1662568E+002
 9.3550000E+002, 1.0687799E+002, 1.1664380E+002
 9.3750000E+002, 1.0694064E+002, 1.1665982E+002
 9.4000000E+002, 1.0701075E+002, 1.1667775E+002
 9.4200000E+002, 1.0708051E+002, 1.1669560E+002
 9.4400000E+002, 1.0714219E+002, 1.1671137E+002
 9.4600000E+002, 1.0720358E+002, 1.1672707E+002
 9.4850000E+002, 1.0727228E+002, 1.1674465E+002
 9.5050000E+002, 1.0734063E+002, 1.1676213E+002
 9.5250000E+002, 1.0740107E+002, 1.1677759E+002
 9.5500000E+002, 1.0746872E+002, 1.1679489E+002
 9.5700000E+002, 1.0753601E+002, 1.1681210E+002
 9.5900000E+002, 1.0759552E+002, 1.1682732E+002
 9.6100000E+002, 1.0765474E+002, 1.1684247E+002
 9.6350000E+002, 1.0772103E+002, 1.1685942E+002
 9.6550000E+002, 1.0778697E+002, 1.1687629E+002
 9.6750000E+002, 1.0784528E+002, 1.1689120E+002
 9.7000000E+002, 1.0791054E+002, 1.1690789E+002
 9.7200000E+002, 1.0797546E+002, 1.1692450E+002
 9.7400000E+002, 1.0803287E+002, 1.1693918E+002
 9.7600000E+002, 1.0809000E+002, 1.1695379E+002
 9.7850000E+002, 1.0815395E+002, 1.1697015E+002
 9.8050000E+002, 1.0821757E+002, 1.1698642E+002
 9.8250000E+002, 1.0827382E+002, 1.1700081E+002
 9.8500000E+002, 1.0833678E+002, 1.1701691E+002
 9.8700000E+002, 1.0839941E+002, 1.1703293E+002
 9.8900000E+002, 1.0845480E+002, 1.1704710E+002
 9.9100000E+002, 1.0850992E+002, 1.1706119E+002
