s,C,C
Time,"Back","Front"
 2.1420000E+005, 1.1653110E+002, 1.4750328E+002
 2.1483000E+005, 1.1668805E+002, 1.4751499E+002
 2.1546000E+005, 1.1684427E+002, 1.4752664E+002
 2.1609000E+005, 1.1699976E+002, 1.4753824E+002
 2.1672000E+005, 1.1715451E+002, 1.4754978E+002
 2.1735000E+005, 1.1730855E+002, 1.4756127E+002
 2.1798000E+005, 1.1746186E+002, 1.4757271E+002
 2.1861000E+005, 1.1761445E+002, 1.4758409E+002
 2.1924000E+005, 1.1776632E+002, 1.4759542E+002
 2.1987000E+005, 1.1791748E+002, 1.4760670E+002
 2.2050000E+005, 1.1806794E+002, 1.4761793E+002
 2.2113000E+005, 1.1821769E+002, 1.4762910E+002
 2.2176000E+005, 1.1836673E+002, 1.4764022E+002
 2.2239000E+005, 1.1851508E+002, 1.4765128E+002
 2.2302000E+005, 1.1866273E+002, 1.4766230E+002
 2.2365000E+005, 1.1880969E+002, 1.4767326E+002
 2.2428000E+005, 1.1895596E+002, 1.4768417E+002
 2.2491000E+005, 1.1910154E+002, 1.4769503E+002
 2.2554000E+005, 1.1924644E+002, 1.4770584E+002
 2.2617000E+005, 1.1939067E+002, 1.4771660E+002
 2.2680000E+005, 1.1953421E+002, 1.4772731E+002
 2.2743000E+005, 1.1967708E+002, 1.4773797E+002
 2.2806000E+005, 1.1981929E+002, 1.4774857E+002
 2.2869000E+005, 1.1996082E+002, 1.4775913E+002
 2.2932000E+005, 1.2010169E+002, 1.4776964E+002
 2.2995000E+005, 1.2024190E+002, 1.4778010E+002
 2.3058000E+005, 1.2038146E+002, 1.4779051E+002
 2.3121000E+005, 1.2052036E+002, 1.4780087E+002
 2.3184000E+005, 1.2065860E+002, 1.4781119E+002
 2.3247000E+005, 1.2079620E+002, 1.4782145E+002
 2.3310000E+005, 1.2093316E+002, 1.4783167E+002
 2.3373000E+005, 1.2106947E+002, 1.4784184E+002
 2.3436000E+005, 1.2120514E+002, 1.4785196E+002
 2.3499000E+005, 1.2134018E+002, 1.4786203E+002
 2.3562000E+005, 1.2147458E+002, 1.4787206E+002
 2.3625000E+005, 1.2160835E+002, 1.4788204E+002
 2.3688000E+005, 1.2174150E+002, 1.4789197E+002
 2.3751000E+005, 1.2187402E+002, 1.4790186E+002
 2.3814000E+005, 1.2200592E+002, 1.4791170E+002
 2.3877000E+005, 1.2213720E+002, 1.4792149E+002
 2.3940000E+005, 1.2226787E+002, 1.4793124E+002
 2.4003000E+005, 1.2239792E+002, 1.4794094E+002
 2.4066000E+005, 1.2252736E+002, 1.4795059E+002
 2.4129000E+005, 1.2265620E+002, 1.4796020E+002
 2.4192000E+005, 1.2278443E+002, 1.4796977E+002
 2.4255000E+005, 1.2291206E+002, 1.4797929E+002
 2.4318000E+005, 1.2303909E+002, 1.4798877E+002
 2.4381000E+005, 1.2316553E+002, 1.4799820E+002
 2.4444000E+005, 1.2329137E+002, 1.4800759E+002
 2.4507000E+005, 1.2341662E+002, 1.4801693E+002
 2.4570000E+005, 1.2354129E+002, 1.4802623E+002
 2.4633000E+005, 1.2366537E+002, 1.4803549E+002
 2.4696000E+005, 1.2378887E+002, 1.4804470E+002
 2.4759000E+005, 1.2391179E+002, 1.4805387E+002
 2.4822000E+005, 1.2403413E+002, 1.4806300E+002
 2.4885000E+005, 1.2415590E+002, 1.4807208E+002
 2.4948000E+005, 1.2427710E+002, 1.4808112E+002
 2.5011000E+005, 1.2439773E+002, 1.4809012E+002
 2.5074000E+005, 1.2451780E+002, 1.4809908E+002
 2.5137000E+005, 1.2463730E+002, 1.4810799E+002
 2.5200000E+005, 1.2475624E+002, 1.4811686E+002
 2.5263000E+005, 1.2487462E+002, 1.4812570E+002
 2.5326000E+005, 1.2499245E+002, 1.4813449E+002
 2.5389000E+005, 1.2510973E+002, 1.4814323E+002
 2.5452000E+005, 1.2522645E+002, 1.4815194E+002
 2.5515000E+005, 1.2534263E+002, 1.4816061E+002
 2.5578000E+005, 1.2545826E+002, 1.4816923E+002
 2.5641000E+005, 1.2557336E+002, 1.4817782E+002
 2.5704000E+005, 1.2568791E+002, 1.4818637E+002
 2.5767000E+005, 1.2580192E+002, 1.4819487E+002
 2.5830000E+005, 1.2591540E+002, 1.4820334E+002
 2.5893000E+005, 1.2602835E+002, 1.4821176E+002
 2.5956000E+005, 1.2614077E+002, 1.4822015E+002
 2.6019000E+005, 1.2625266E+002, 1.4822849E+002
 2.6082000E+005, 1.2636402E+002, 1.4823680E+002
 2.6145000E+005, 1.2647487E+002, 1.4824507E+002
 2.6208000E+005, 1.2658519E+002, 1.4825330E+002
 2.6271000E+005, 1.2669500E+002, 1.4826149E+002
 2.6334000E+005, 1.2680429E+002, 1.4826965E+002
 2.6397000E+005, 1.2691307E+002, 1.4827776E+002
 2.6460000E+005, 1.2702133E+002, 1.4828584E+002
 2.6523000E+005, 1.2712910E+002, 1.4829388E+002
 2.6586000E+005, 1.2723635E+002, 1.4830188E+002
 2.6649000E+005, 1.2734310E+002, 1.4830984E+002
 2.6712000E+005, 1.2744936E+002, 1.4831777E+002
 2.6775000E+005, 1.2755511E+002, 1.4832566E+002
 2.6838000E+005, 1.2766037E+002, 1.4833351E+002
 2.6901000E+005, 1.2776513E+002, 1.4834132E+002
 2.6964000E+005, 1.2786940E+002, 1.4834910E+002
 2.7027000E+005, 1.2797319E+002, 1.4835684E+002
 2.7090000E+005, 1.2807649E+002, 1.4836455E+002
 2.7153000E+005, 1.2817930E+002, 1.4837222E+002
 2.7216000E+005, 1.2828163E+002, 1.4837985E+002
 2.7279000E+005, 1.2838348E+002, 1.4838745E+002
 2.7342000E+005, 1.2848485E+002, 1.4839501E+002
 2.7405000E+005, 1.2858575E+002, 1.4840254E+002
 2.7468000E+005, 1.2868617E+002, 1.4841003E+002
 2.7531000E+005, 1.2878613E+002, 1.4841749E+002
 2.7594000E+005, 1.2888561E+002, 1.4842491E+002
 2.7657000E+005, 1.2898463E+002, 1.4843229E+002
 2.7720000E+005, 1.2908319E+002, 1.4843965E+002
 2.7783000E+005, 1.2918128E+002, 1.4844696E+002
 2.7846000E+005, 1.2927891E+002, 1.4845425E+002
 2.7909000E+005, 1.2937608E+002, 1.4846150E+002
 2.7972000E+005, 1.2947280E+002, 1.4846871E+002
 2.8035000E+005, 1.2956907E+002, 1.4847589E+002
 2.8098000E+005, 1.2966488E+002, 1.4848304E+002
 2.8161000E+005, 1.2976024E+002, 1.4849015E+002
 2.8224000E+005, 1.2985516E+002, 1.4849723E+002
 2.8287000E+005, 1.2994963E+002, 1.4850428E+002
 2.8350000E+005, 1.3004366E+002, 1.4851130E+002
 2.8413000E+005, 1.3013725E+002, 1.4851828E+002
 2.8476000E+005, 1.3023040E+002, 1.4852523E+002
 2.8539000E+005, 1.3032311E+002, 1.4853214E+002
 2.8602000E+005, 1.3041538E+002, 1.4853903E+002
 2.8665000E+005, 1.3050723E+002, 1.4854588E+002
 2.8728000E+005, 1.3059864E+002, 1.4855270E+002
 2.8791000E+005, 1.3068963E+002, 1.4855948E+002
 2.8854000E+005, 1.3078018E+002, 1.4856624E+002
 2.8917000E+005, 1.3087032E+002, 1.4857296E+002
 2.8980000E+005, 1.3096003E+002, 1.4857966E+002
 2.9043000E+005, 1.3104932E+002, 1.4858632E+002
 2.9106000E+005, 1.3113819E+002, 1.4859295E+002
